District,Enrollment,PPE,AVPP,LogPPE,LogAVPP,LogEnrollment
West Franklin,985,6372.72,28640,8.759781659,10.262559621,6.8926416412
Central Heights,657,6102.24,25610,8.7164111959,10.150738179,6.4876840185
Wellsville,787,6622.65,35887,8.7982508709,10.488130392,6.6682282484
Ottawa,2474,4891.19,31404,8.4951909066,10.354690552,7.813591553
Grinnell,139,8449.1,61684,9.0418152058,11.029779857,4.9344739331
Grainfield,182,8524.46,62396,9.050694957,11.04125645,5.2040066871
Quinter,385,7726.56,34357,8.9524190231,10.444561061,5.9532433343
Oberlin,513,6737.32,52232,8.8154174987,10.863450613,6.2402758452
Prairie Heights,88,10538.19,62976,9.2627610806,11.05050898,4.4773368145
St. Francis,435,6513.5,54756,8.7816322251,10.910642231,6.0753460311
Lincoln,415,6823.86,43837,8.8281805731,10.688233489,6.0282785202
Sylvan Grove,181,7552.21,51315,8.9295955146,10.845738386,5.1984970313
Commanche County,326,8096.03,95946,8.9991290971,11.471540812,5.7868973814
Nes Tres La Go,55,10412.84,145033,9.250794939,11.884716582,4.0073331852
Smoky Hill,141,8941.67,63335,9.0984776516,11.056193378,4.9487598904
Ness City,328,6748.86,61605,8.8171288807,11.028498315,5.7930136084
Bazine,98,9759.69,82190,9.1860159166,11.316788919,4.5849674787
Salina,7727,5080.84,42329,8.5332318812,10.653227709,8.9524759679
Southeast of Saline,674,6270.18,69038,8.7435603413,11.142412357,6.5132301109
Ell-Saline,453,6751.34,31100,8.8174962827,10.344963098,6.1158921255
Hutchinson,4975,5135.32,36578,8.5438974379,10.507202246,8.5121806496
Nickerson,1288,5514.18,42939,8.6150782352,10.667535783,7.1608459067
Fairfield,426,7497.63,63723,8.9223422496,11.062300844,6.0544393463
Pretty Prairie,324,7378.88,40304,8.9063771446,10.604205999,5.7807435158
Haven,1123,6388.77,40867,8.7622970406,10.61807817,7.0237589547
Buhler,2292,5189.79,41285,8.5544485129,10.628254517,7.7371800778
Brewster,168,8622.23,66392,9.0620990309,11.103331846,5.1239639794
Colby,1103,5798.71,45611,8.665390758,10.727904194,7.0057890193
Golden Plains,174,8153.19,48642,9.0061645407,10.792242634,5.1590552992
Herndon,90,8911.57,56656,9.0951057115,10.944753174,4.4998096703
Atwood,394,6977.58,43562,8.8504574308,10.68194049,5.9763509093
Wamego,1447,5348.4,30414,8.5845527297,10.322658308,7.2772477266
Kaw Valley,1114,6642.08,229086,8.8011804464,12.341852758,7.0157124205
Onaga,399,6870.18,38515,8.8349455857,10.558803055,5.9889614169
Westmoreland,809,6106.42,23503,8.7170959557,10.064883352,6.6957989171
Eastern Heights,183,8223.99,37566,9.0148107717,10.533854665,5.2094861528
Phillipsburg,675,6657.61,35745,8.8035158403,10.484165678,6.5147126909
Logan,221,7874.82,47389,8.9714256063,10.766145413,5.3981627015
Ellsworth,725,6730.06,32865,8.8143393379,10.400163541,6.5861716549
Lorraine,531,7049.67,85128,8.8607360862,11.351911285,6.2747620212
Alma,533,6943.63,47856,8.8455799715,10.775951781,6.2785214242
Wabaunsee East,596,6542.61,39040,8.7860914474,10.572342041,6.3902406671
Kingman,1273,5594.68,41364,8.6295714252,10.630166216,7.1491315986
Cunningham,316,7244.81,94785,8.8880406294,11.459366448,5.7557422136
Concordia,1279,5788.92,30800,8.6637010247,10.335269969,7.1538338016
Southern Cloud,242,7692.29,56282,8.9479738075,10.938130047,5.4889377262
North Jackson,464,6843.48,26471,8.8310516532,10.183805073,6.1398845522
